tot_purch_amt,sale_month,cty_twnshp_nme,crv_nbr,df.sale_year,dates,quarter
287500,6,St. Paul,671070,2017,2017-07-25,Q3-2017
512000,6,Minneapolis,671075,2017,2017-09-20,Q3-2017
280000,6,St. Paul,671095,2017,2017-07-20,Q3-2017
228375,6,Minneapolis,671101,2017,2017-09-20,Q3-2017
174000,6,St. Paul,671103,2017,2017-07-18,Q3-2017
54500,3,Minneapolis,671142,2017,2017-09-20,Q3-2017
95000,5,Minneapolis,671181,2017,2017-09-20,Q3-2017
230000,6,Minneapolis,671203,2017,2017-09-12,Q3-2017
129900,6,Minneapolis,671214,2017,2017-09-20,Q3-2017
205500,6,St. Paul,671235,2017,2017-07-18,Q3-2017
315000,6,Minneapolis,671236,2017,2017-10-04,Q4-2017
2195000,6,St. Paul,671242,2017,2017-09-15,Q3-2017
167000,6,St. Paul,671262,2017,2017-07-25,Q3-2017
342000,6,St. Paul,671278,2017,2017-08-11,Q3-2017
505000,6,St. Paul,671288,2017,2017-09-06,Q3-2017
203000,6,St. Paul,671294,2017,2017-08-01,Q3-2017
320000,6,St. Paul,671313,2017,2017-07-07,Q3-2017
250000,6,Minneapolis,671316,2017,2017-09-20,Q3-2017
260000,6,Minneapolis,671398,2017,2017-09-20,Q3-2017
160000,6,Minneapolis,671423,2017,2017-10-18,Q4-2017
133950,6,Minneapolis,671440,2017,2017-10-04,Q4-2017
185000,6,Minneapolis,671467,2017,2017-10-04,Q4-2017
60000,6,Minneapolis,671472,2017,2017-09-20,Q3-2017
191000,6,St. Paul,671496,2017,2017-07-31,Q3-2017
230000,6,St. Paul,671497,2017,2017-09-27,Q3-2017
145000,6,St. Paul,671526,2017,2017-08-21,Q3-2017
289900,6,Minneapolis,671537,2017,2017-10-04,Q4-2017
85000,6,Minneapolis,671544,2017,2017-09-20,Q3-2017
1065000,6,Minneapolis,671549,2017,2017-10-04,Q4-2017
92000,5,St. Paul,671553,2017,2017-09-27,Q3-2017
510000,6,Minneapolis,671563,2017,2017-09-20,Q3-2017
197000,6,St. Paul,671576,2017,2017-08-21,Q3-2017
335000,5,Minneapolis,671589,2017,2017-10-04,Q4-2017
310000,4,Minneapolis,671592,2017,2017-10-18,Q4-2017
885000,6,St. Paul,671599,2017,2018-02-16,Q1-2018
282000,6,St. Paul,671686,2017,2017-09-15,Q3-2017
370000,6,Minneapolis,671710,2017,2017-10-04,Q4-2017
250000,6,Minneapolis,671733,2017,2017-09-20,Q3-2017
765000,6,Minneapolis,671752,2017,2017-09-20,Q3-2017
155000,6,St. Paul,671754,2017,2017-08-03,Q3-2017
84000,6,St. Paul,671774,2017,2017-07-17,Q3-2017
196000,6,Minneapolis,671843,2017,2017-10-04,Q4-2017
184000,6,Minneapolis,671877,2017,2017-09-20,Q3-2017
75000,6,Minneapolis,671909,2017,2017-10-18,Q4-2017
217000,6,Minneapolis,671951,2017,2017-10-04,Q4-2017
257250,6,Minneapolis,671970,2017,2017-09-12,Q3-2017
422000,6,St. Paul,671975,2017,2017-09-15,Q3-2017
275000,5,Minneapolis,671976,2017,2017-09-20,Q3-2017
203000,6,Minneapolis,671990,2017,2017-10-04,Q4-2017
229500,6,Minneapolis,672003,2017,2017-10-18,Q4-2017
453000,6,Minneapolis,672004,2017,2017-10-04,Q4-2017
245000,6,Minneapolis,672007,2017,2017-10-04,Q4-2017
53515,6,Minneapolis,672015,2017,2017-09-20,Q3-2017
123000,6,Minneapolis,672026,2017,2017-10-04,Q4-2017
187000,6,Minneapolis,672038,2017,2017-09-20,Q3-2017
285000,6,Minneapolis,672048,2017,2017-10-04,Q4-2017
204500,6,Minneapolis,672055,2017,2017-10-04,Q4-2017
221000,6,St. Paul,672073,2017,2017-07-18,Q3-2017
273500,6,Minneapolis,672082,2017,2017-10-18,Q4-2017
185000,6,St. Paul,672083,2017,2017-09-29,Q3-2017
899900,6,Minneapolis,672095,2017,2017-10-05,Q4-2017
1.00E+05,6,Minneapolis,672116,2017,2017-10-05,Q4-2017
179900,6,Minneapolis,672122,2017,2017-11-08,Q4-2017
175500,6,Minneapolis,672161,2017,2017-09-20,Q3-2017
185500,6,Minneapolis,672171,2017,2017-09-20,Q3-2017
109900,6,Minneapolis,672254,2017,2017-10-18,Q4-2017
237000,6,Minneapolis,672276,2017,2017-10-18,Q4-2017
180000,6,Minneapolis,672290,2017,2017-09-20,Q3-2017
231200,6,Minneapolis,672295,2017,2017-09-20,Q3-2017
520000,6,Minneapolis,672299,2017,2017-10-18,Q4-2017
320000,6,Minneapolis,672307,2017,2017-10-05,Q4-2017
510000,6,St. Paul,672321,2017,2017-08-25,Q3-2017
245000,6,Minneapolis,672339,2017,2017-09-20,Q3-2017
192000,6,St. Paul,672346,2017,2017-07-25,Q3-2017
345235,6,St. Paul,672348,2017,2017-09-15,Q3-2017
260000,6,St. Paul,672351,2017,2017-06-27,Q2-2017
495000,6,Minneapolis,672356,2017,2017-09-20,Q3-2017
295000,6,St. Paul,672358,2017,2017-10-25,Q4-2017
169000,6,St. Paul,672401,2017,2017-10-17,Q4-2017
259000,6,St. Paul,672431,2017,2017-07-25,Q3-2017
138000,6,St. Paul,672440,2017,2017-06-28,Q2-2017
179000,6,Minneapolis,672455,2017,2017-10-05,Q4-2017
198000,6,Minneapolis,672470,2017,2017-09-20,Q3-2017
466500,6,St. Paul,672479,2017,2017-06-28,Q2-2017
